English	NHM	SHM	LM	SaP	OlP	TxP	SoZ	ChZ Maria	ChZ Miguel	ChisZ
all	nəhυm	tukəʔy	tuʔuk-ʔokəy	nu pəhən	niʔtiʔk	bumbe	ikuməh	aŋteneʔ	hemhiʔ	mumu
ashes	haahm	haam	kuy-haam	kuy-hahm	hamə	kuyam	kuy-ham	kuy-ham	kuy-ham	kuy-ham
bark	kïp ak	ak	ak	ak	?	kuy-daak	?	naka	kuy naka	kuʔyu-naka
belly	tiints	mææts	moʔošak	tin-čay	puʔpu	tsek	?	tsek	tsek	tsek
big	məh	məh	məh	məh	taʔnək	wəəčeʔ	məh	wətiʔ	komiʔ	məha
bird	həəyva	hoon	hoon	hohn	muuši	hon	hon	hon	hon	paloma
bite	tsuʔuts	tsuʔuts	noots	kutoʔ	tsuʔts	keʔts	was	?	waš	keʔts
black	yək	yəhk	yik	yəgək	yəkəʔk	yək	yək	yək	yək-yək	yək
blood	nïïʔpun	nəʔəpy	nəʔpy	nipin	nəʔpiʔn	dəʔəpeñ	nəʔəpiñ	nəʔpin	nəpinʔ	nəʔpin
bone	pahk	pahk	pahk	pahk	pakə	pak	pak	pak	pak	pak
breast	hυʔtaa	tsetsk	tsiʔits-ʔaniʔikš	moʔy	?	duun	nuunu	?	tsuʔts-iʔ	tsuʔtsi
burn tr.	tooy ~ toohy ~ toy	tsaʔay	noʔok	ak-toy	yak-toy	doʔ-tokeñ	noʔ	kəŋ	poŋ	poŋ
claw (nail)	šəəʔk	šooky	šooky	šoohk	šooki	kəʔ-tsuʔks	kətsəs	kətsus	kəʔtsuš	kəʔčus
cloud	vinïts	nəmaʔa	hok	win-tuk	vin-hoyeʔk	ʔuʔksuʔ	uksə	?	ʔin-əʔ	oʔna
cold	šuš	šuš	təč	payik	tušəʔk	paak	pagak	wayaʔy	wayayʔ	pakak
come	mεts ~ mεhts	men	min	min ~ miʔn	min ~ miʔn	beñ	miñ	min	min	min
die	ooʔk	ook	oʔok	oʔk	ook	kaʔ	kaʔ	kaʔh	kaʔ	kaʔ
dog	υk	uk	uk	tak	šuʔni	čempaʔ	čimpa	nuʔu	nuʔ	tuwi
drink	υυk	uuk	uk	uuk ~ uʔk	uuk	ʔuk	uk	uk	ʔuk	uhk
dry	təʔəhts	təʔəts	təʔəts	kuytəʔts	təʔəʔs	təts-kaʔ	ku-təts	yak-yəts	təts-iʔ	təʔts
ear	taatsk	tatsk	tətsʔak	taatsək	taatsəək	taatsək	taatsək	tatsək	tatsək	tatsək
earth	naaš	naš-wiʔñət	naaš	naaš	naašə	das	nas	nas	naš	nas
eat	kay	kæy	kay	kay	kay	kəʔəs	kəʔəs	kəʔs-oy	kəš	kəʔs
egg	tuʔut	tutsah	tuʔuty	kooy	tuʔtiʔk	kaʔnpuk	kanpu	poʔok	pohoʔk	poka
eye	viihn	ween	wiin	wihn	vinə	ʔeš-kuʔ	iš-kuy	witəm	wotəm	win
fat n.	on	on	wiin-ʔomb	oʔtsək	ona	?	pəhi	grasa	yew-eʔ	kiʔnə
feather	pahk	pəhk	tseyñiʔi-bəhk	?	pəkə	pək	pək	pək	pək	pək
fire	həəhn	həən	həən	həhn	hənə	hukut	huktə	hukutə	ʔaʔts-əʔ	hukətək
fish	ahkš	akš	akš	akš	koʔke	woʔŋ	təʔəpə	koke	koke	kokeh
fly v.	hεy ~ hεεy	kæhkəʔək	keek	keek ~ keʔk	napap	kek	kek	kek	yuk-kek	sitiht
foot	tek	teky	teky	tan	kəʔšta	pak	puy	maŋ-kuʔy	maŋ-kuyʔ	neʔŋ-bak
full	uts	uhts	kuʔušy	patsik	utsi	kus-deʔ	kus-ne	yag-aŋ-tas	taš-əʔ	hoʔəyupə
give	məʔə	yak	moʔ	moy ~ moʔ	moy ~ moʔ	čeʔ	čiʔ	tsiʔ	tsiʔ	čiʔ
good	oy	ey	oy	oy	(ni)oya	wəə	wəə	?	wəhə	oye
green	tsυšk	tsušk	tsuš	šušuk	tušuʔk	tsuus	tsuus	tsuhus	tsuš	tsuhtsu
hair - 1	vaahy	waay	waay			waʔy	way	waʔy	wayʔ	way
hair - 2				pəhk	pəkə					pək
hand	kəʔə	kəʔə	kəʔ	kəʔ	kəʔ	kəʔ	kə	kəʔ	tsaŋ-kuyʔ	kəʔ
head	kuvahk	kəpaahk	kowahk	kopak	koʔpaʔk	kopək	koobak	waʔy	kopak	kopak
hear	motu	mətoo	mədoogugəʔ	maraw	motov	batəŋ	aŋ-təən	matoŋ	matoŋ	matoŋ
heart	haʔvin	anmə-haʔan	huuky-hot	?	hutukotə	tsookoʔ	aanamah	tsokoʔy	tsokoyʔ	tsokoy
horn	vah	wah	muʔn	wah	vaha	waaŋaʔ	?	?	wekaʔ	waʔ
I	əts	əts	əəč	əə, əəts	əəs	ʔətsəʔ	əč	ətstsiʔ	də-š	əh
