English	NHM	SHM	LM	SaP	OlP	TxP	SoZ	ChZ Maria	ChZ Miguel	ChisZ
kill	yak-ʔook ~ yak-ʔooʔk	æk-ook	yah-ʔoʔok	ag-oʔk	yak-ook	yakaʔ	ik-kaʔ	yak-kaʔh	yak-ʔoy	yah-kaʔ
knee	koš	koš	koškohwahk	košk	košo	koosoʔ	kooso	koʔma	komaʔ	tungupyoʔk
know	nəhava	naw	nehwəəy	hawi	viniy	bus	hoodoʔŋ	mus	muš	muhs
leaf	aahy	aay	aay	ahy	ayə	ʔay	ay	ay	ʔayʔ	ay
lie	maʔva	koʔoky	koʔok	kəmna	šok	kas-deʔ	wooneʔe	moŋ-kətake	moŋ	əkgehk
liver	nəə hoot	hoht	hot	hooht	təʔshotə	tsookoʔ	tsoogoy	tsokoʔy	paʔt	paʔt
long	yən	yeny	yoony	yagats	yoneʔk	yaʔakaʔts	yagats	pəhi	pəh-iʔ	pəy
louse	əəʔts	aʔaht	aad	aawat	aavaʔt	awaʔt	aʔawat	awat	ʔawat	awat
man	yaaʔtyəhk	hətyəhk	yeʔey-dəhk	hayaw	yoʔohwa	pəəñ	pəəšiñ	pən	pən	pən
many	may	mæy	may	may	paʔko, taʔna	dač-ke, bəks-ke, səʔəs-daʔa	agi, tsaam, haʔyaŋ, waatyi	səhəʔ	šəh-əʔ	wəwə, aŋ-baʔt-e, məʔčəki
meat	tsuʔuts	tsuʔučy	tsuʔuč	šiš	tsuʔči	šeš	maayi	sis	šiš	sis
moon	poʔo	poʔo	poʔ	poʔ	poʔa	pooy	pooya	sepeʔ	šepeʔ	poyah
mountain	kopk	kokp	koʔogop, kop	kopak	kopaʔk	kotsək	kootsək	?	kotsək	kotsək
mouth	aah	aa	aawak	ahw	avə	həp	həp	həp	həp	aŋnaka
name	šəə	šəə	šəə	nəʔhy	šəvə	dəy	nəəyi	nəhi	nəhi	nəy
neck	yoʔkt	yoʔkt	yoʔok-pahk	yoʔk	?	kən-kəʔ	?	?	wintuʔ	kənə
new	nam	hempy	hemy	namay	namə	homə-naʔ	hoomi	homeʔ	homeʔ	home
night	tsυυ	koots	adzuuʔəʔ	tsuʔ	tsuhə	tsuʔ	tsuʔu	tsuʔhi	tsuʔ	tsuʔ
nose	həhp	həhp	həhp-put	həhp	həpə	keñ-kuy	kiiñi	kinə	kinək	kinə
not	kaʔa	kaʔt	kaʔ	kaah	əʔə	eñč	dYa	wat kaha	ya	haʔne
one	tυʔk	tuʔuk	tuʔuk	tuʔk	tuʔk	tum	tuum	tumə	tumə	tumə
person	hayu	haʔay	həy	hayaw	haykaʔk	pəəñ-čaʔ	?	?	?	pən-daʔm
rain	tυυ	tuh	tuu	tuu	tuuhə	tuh	tuh	tuh	tuh	tuh
red	tsapts	tsaps	tsapts	tsabats	tsapaʔs	tsaʔpaʔts	tsabats	tsapats	tsapats	tsapas
road	tυυʔ	tuʔu	tuʔ	toow	tuʔaʔw	tuŋ	tuŋ	tuŋ	tuŋ	tuŋ
root	aaʔts	aats	tikts	tikčik	čistsəʔw	čečək	tyiičək	waʔts	waʔts	watsi
round	pigïk	pehk	pik	hoyoy	?	woy-woy-če	woyo	?	?	huyuh
sand	pυʔυ	puʔu	puʔ	poʔy	puʔə	poʔoy	poʔoy	haweʔ	poeʔ	waʔna
say	vaʔañ	nə-kapš	mənaʔn	nəm	nəm	dəm	nəm	nəm	nəm	nəm
see - 1	iš	eš	iš	iš		ʔeš	iʔiš	is	ʔiš	ʔis
see - 2				eʔp	ʔeep					
seed	təəmt	pahk	pahk	puuh	pakə	puh	pak	puh	puh	puh
sit	tsïïna	tsəən	inyəy, ištak	tsəəna	huunii	kon	koñ	tsənay	tsən	poks
skin	ak	nəʔak	ak	ak	akə	daak	naaka	naka	naka	naka
sleep	maʔa	maʔa	maʔ	maa ~ maʔ	maa ~  maah ~ maʔh	boŋ	moŋ	moŋ	kap-ney	əŋ
small	piʔk	mutsk	muts	čičic	čuuču	həsə-baa	šutyu	?	wakšiŋʔ	čiks
smoke	hok	hok	həən-hok	wiʔšik	hoko	hook	hooko	oʔmaʔ	ʔomaʔ	hokoh
stand - 2	tena	tənæy	tenaay	tena	teniy	hoop-deʔ	teeñ		ten	tenay
stand -2 								maʔŋəy	maŋ-ney	
star	maatsa	matsaʔa	madzaʔ	maahts	maatsaʔaʔk	baatsaʔ	maatsa	matsaʔ	matsaʔ	matsa
stone	tsaa	tsah	tsaa	tsaʔ	tsaahə	tsaʔ	tsa	tsaʔ	tsaʔ	tsaʔ
sun	šəə	šəʔan	šəə	šəhw	šəvə	haam	haama	hama	hama	hama
swim	nə-vïïʔn	nə-yum	yaab	yun	yun	pəʔn	puʔn	yun	yuk	hemu
tail	tυʔšta	tutst	piʔišy	tuʔhts	tuʔsta	tuʔts	tuʔts	tuʔts	tuʔts	tuʔts
that	šiiʔ	hæʔæ	hehəmbə	yahyəʔn	hamah	?	heam	?	ga.də	əʔ
this	yəʔə	yaʔat	hadaʔ	ayəəh	heʔ	yəʔəhəʔ	heʔepək	yəʔ-pəʔ	yəʔ	yəʔ-wə
thou	mits	mehts	miič	mii(č)	miis	bič	mič	mits(tsiʔ)	mi-š	mih
tongue	toots	toots	toots	toohts	tootsə	?	tots	yen-kuʔy	tots	tots
tooth	təəts	təəts	təəts	təəhts	təətsə	təts	təts	təts	təts	təts
tree	kïp	šoh	kipy	kuhy	kuyə	kuy	kuy	kuy	kuy	kuy
two	mehtsk	mætsk	mets	mečk	mes-ko	wəs-naʔ	wəs-teen	mets-aʔaŋ	mets-a-ʔaŋ	metsa
walk/go - 1	yoʔoy	yoʔoy	yoʔoy	yoʔy	vit	weč	wity		wit	wiht
walk/go - 2								tuʔŋah	tuŋ-ʔah	
warm	an	an	an	powik, toyap	hokoʔš	?	?	nuts	yuk-nuts	pih, yoʔk-a
water	nəə	nəh	nəə	nəʔ	nəəhə	dəʔ	nə	nəʔ	nəʔ	nəʔ
we	əəts	əəts	əəč aht	əhtsat	ətsaateʔk	ʔəts-taʔ	?	newinynen	neywin	təh
what	ti	tii	ti	ti	ti	čeʔ	tyi	ti	ti	tiyə
white	pooʔp	poop	poob	poʔp	poopoʔ	popoʔ	poʔobaap	popoʔ	popoʔ	popo
who	pən	pən	pən	pən	pən	ʔee	iapaʔap	i-wə	ʔi-wə	i-wə
woman	təʔəštəhk	tišytyəhk	toʔošyhəy	toʔšay	mahaw	yoomaʔ	yoomo	yoməʔ	yomaaʔ	yomo
yellow	pυʔts	puts	puʔts	puʔts-puts	puʔs-puʔs	puʔuč-eʔ	puʔuč	puʔtsiʔ	puʔts-puʔts	puʔtsə
far	hekum	hækæm	həgem	yagats	heškeʔkeʔk	huʔum	huʔumə	yaʔhi	yah-əʔ	yaʔay
heavy	hemïts	heʔmšy	hemšy	uʔts	?	tsaʔks-naʔ	tsakš-ñi	hemets	hemeʔts	hemets
near	təmhi	hənkon	wingon	tom	tomeʔk	taʔan	taʔañi	tomeʔ	tom-eʔ	tome
salt	kaan	kaan	kaan	kaan	kaana	kaan	kaana	kana	kana	kana
short	kona	kon	kon	?	konoʔk	dokkoʔ	noko	konoʔ	kon(n)-oʔ	kono
snake	tsaaʔn	tsaʔany	tsaʔny	tsanay	tsanaʔy	tsaañ	tsaañ	tsahin	tsahin	tsan
thin	pehi	pehy	pehy	pehay	hətəʔt, niipakə, pakə	waayeʔ, əʔks-kəʔdaʔa, kal-pak-daʔa	čehče, wayay	piʔiʔ	kitsa	tseya, kay, pahka-pahka
wind	poh	poh	poh	šeʔm	haamu	saaw	saawa	?	šawa	sawa
worm - 1	naš-tsaaʔn	tənəʔək	təng	tsugut	kumu	tsuʔukeñ	tsuuʔkiñ	tsuʔkin	kumuʔ	
worm – 2						toʔt				toʔt
year	hυυhnt	həməht	həməht	šiwit	šiviʔt	ʔamče	aamtyəy	amintə	ʔamintəʔ	ame
