ID,Name,Concepticon_ID,Concepticon_Gloss
all,,98,all
ashes,,646,ashes
bark,,1204,bark
belly,,1251,belly
big,,1202,big
bird,,937,bird
bite,,1403,bite
black,,163,black
blood,,946,blood
bone,,1394,bone
breast,,1402,breast
burntr,,141,burn tr.
clawnail,,72,claw (nail)
cloud,,1489,cloud
cold,,1287,cold
come,,1446,come
die,,1494,die
dog,,2009,dog
drink,,1401,drink
dry,,1398,dry
ear,,1247,ear
earth,,1228,earth
eat,,1336,eat
egg,,744,egg
eye,,1248,eye
fatn,,1282,fat n.
feather,,1201,feather
fire,,221,fire
fish,,227,fish
flyv,,1441,fly v.
foot,,1301,foot
full,,1429,full
give,,1447,give
good,,1035,good
green,,1425,green
hair,,1040,hair
hand,,1277,hand
head,,1256,head
hear,,1408,hear
heart,,1223,heart
horn,,1393,horn
i,,1209,I
kill,,1417,kill
knee,,1371,knee
know,,1410,know
leaf,,628,leaf
lie,,1411,lie
liver,,1224,liver
long,,1203,long
louse,,1392,louse
man,,1554,man
many,,1198,many
meat,,634,meat
moon,,1313,moon
mountain,,639,mountain
mouth,,674,mouth
name,,1405,name
neck,,1333,neck
new,,1231,new
night,,1233,night
nose,,1221,nose
not,,1240,not
one,,1493,one
person,,683,person
rain,,658,rain
red,,156,red
road,,667,road
root,,670,root
round,,1395,round
sand,,671,sand
say,,1458,say
see,,1409,see
seed,,714,seed
sit,,1416,sit
skin,,763,skin
sleep,,1585,sleep
small,,1246,small
smoke,,1689,smoke
stand,,1442,stand
star,,1430,star
stone,,857,stone
sun,,1343,sun
swim,,1439,swim
tail,,1220,tail
that,,78,that
this,,1214,this
thou,,1215,thou
tongue,,1205,tongue
tooth,,1380,tooth
tree,,906,tree
two,,1498,two
walkgo,,1443,walk/go
warm,,1232,warm
water,,948,water
we,,1131,we
what,,1236,what
white,,1335,white
who,,1235,who
woman,,962,woman
yellow,,1424,yellow
far,,1406,far
heavy,,1210,heavy
near,,1942,near
salt,,1274,salt
short,,1645,short
snake,,730,snake
thin,,2308,thin
wind,,960,wind
worm,,1219,worm
year,,1226,year
