LEXEME,REPLACEMENT,COMMENT
min ~ miʔn,min,
moy ~ moʔ,moy,
yak-ʔook ~ yak-ʔooʔk,yak-ook,
maa ~ maʔ,maa,
maa ~  maah ~ maʔh,maa,
tooy ~ toohy ~ toy,tooy,
mεts ~ mεhts,mɛts,
uuk ~ uʔk,uuk,
hεy ~ hεεy,hɛy,
keek ~ keʔk,keek,
